Bookmaker,Available Seasons,Moneyline,Asian Handicap,Over/Under,BTTS,Opening Odds,Closing Odds,Coverage %,Missing %,Consistency,Historical Quality
B365,17,True,True,True,False,False,True,95,5,HIGH,GOOD
LBA,10,True,True,True,False,False,True,95,5,HIGH,GOOD
BbAv,15,True,True,True,False,False,True,95,5,HIGH,GOOD
IWA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
PSCD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
WHA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
IWD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
WHD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
VCD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
BbMx,15,True,True,True,False,False,True,95,5,HIGH,GOOD
PSD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
BbAH,15,True,True,True,False,False,True,95,5,HIGH,GOOD
VCA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
PSA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
BWD,17,True,True,True,False,False,True,95,5,HIGH,GOOD
BWA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
PSCA,17,True,True,True,False,False,True,95,5,HIGH,GOOD
LBD,10,True,True,True,False,False,True,95,5,HIGH,GOOD
AHh,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
AHCh,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
AvgD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
VCCD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
MaxD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
PAHH,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
IWCD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
VCCA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
IWCA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
PCAH,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
BWCD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
MaxA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
AvgC,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
WHCA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
BWCA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
MaxC,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
PAHA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
WHCD,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
AvgA,2,True,True,True,False,False,True,95,5,MEDIUM,GOOD
