Column Name,Data Type,Missing %,Unique Values,Description,Prediction Relevance,Confidence,Example Value
date,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
home_team,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
away_team,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
home_goals_ft,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
away_goals_ft,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
odds_pinnacle_1,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
odds_pinnacle_x,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
odds_pinnacle_2,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
home_elo_pre,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
away_elo_pre,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
market_implied_prob_home,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
league_id,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
year,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
Div,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
Date,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
HomeTeam,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
AwayTeam,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
FTHG,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
FTAG,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
FTR,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HTHG,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HTAG,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HTR,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HS,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AS,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HST,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AST,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HF,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AF,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HC,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AC,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HY,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AY,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
HR,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AR,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365H,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365D,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365A,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BWH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
BWD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BWA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
IWH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
IWD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
IWA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
LBH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
LBD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
LBA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PSH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
PSD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PSA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
WHH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
WHD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
WHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
VCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
VCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
VCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Bb1X2,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
BbMxH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAvH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbMxD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAvD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbMxA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAvA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbOU,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
BbMx>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAv>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbMx<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAv<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAHh,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbMxAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAvAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbMxAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BbAvAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PSCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
PSCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PSCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Referee,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
Time,Unknown,0,Unknown,Extracted from CSV,MEDIUM,HIGH,
MaxH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
MaxD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
AvgD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
P>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
P<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Max>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Max<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Avg>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Avg<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AHh,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365AHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365AHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365CH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
B365CD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365CA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BWCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
BWCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
BWCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
IWCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
IWCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
IWCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
WHCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
WHCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
WHCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
VCCH,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
VCCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
VCCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxCH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgCH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgCD,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgCA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365C>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365C<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PC>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PC<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxC>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxC<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgC>2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgC<2.5,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AHCh,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365CAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
B365CAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PCAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
PCAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxCAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
MaxCAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgCAHH,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
AvgCAHA,Unknown,0,Unknown,Extracted from CSV,HIGH,HIGH,
Model,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
Brier Score,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
Log Loss,Unknown,0,Unknown,Extracted from CSV,NONE,HIGH,
