Feature,Category
date,CORE
home_team,EXPERIMENTAL
away_team,EXPERIMENTAL
home_goals_ft,EXPERIMENTAL
away_goals_ft,EXPERIMENTAL
odds_pinnacle_1,EXPERIMENTAL
odds_pinnacle_x,EXPERIMENTAL
odds_pinnacle_2,EXPERIMENTAL
home_elo_pre,EXPERIMENTAL
away_elo_pre,EXPERIMENTAL
market_implied_prob_home,EXPERIMENTAL
league_id,EXPERIMENTAL
year,EXPERIMENTAL
Div,CORE
Date,CORE
HomeTeam,CORE
AwayTeam,CORE
FTHG,CORE
FTAG,CORE
FTR,CORE
HTHG,OPTIONAL
HTAG,OPTIONAL
HTR,OPTIONAL
HS,OPTIONAL
AS,OPTIONAL
HST,OPTIONAL
AST,OPTIONAL
HF,EXPERIMENTAL
AF,EXPERIMENTAL
HC,OPTIONAL
AC,OPTIONAL
HY,EXPERIMENTAL
AY,EXPERIMENTAL
HR,EXPERIMENTAL
AR,EXPERIMENTAL
B365H,CORE
B365D,CORE
B365A,CORE
BWH,EXPERIMENTAL
BWD,CORE
BWA,CORE
IWH,EXPERIMENTAL
IWD,CORE
IWA,CORE
LBH,EXPERIMENTAL
LBD,CORE
LBA,CORE
PSH,EXPERIMENTAL
PSD,CORE
PSA,CORE
WHH,EXPERIMENTAL
WHD,CORE
WHA,CORE
VCH,EXPERIMENTAL
VCD,CORE
VCA,CORE
Bb1X2,EXPERIMENTAL
BbMxH,CORE
BbAvH,CORE
BbMxD,CORE
BbAvD,CORE
BbMxA,CORE
BbAvA,CORE
BbOU,EXPERIMENTAL
BbMx>2.5,EXPERIMENTAL
BbAv>2.5,EXPERIMENTAL
BbMx<2.5,EXPERIMENTAL
BbAv<2.5,EXPERIMENTAL
BbAH,EXPERIMENTAL
BbAHh,EXPERIMENTAL
BbMxAHH,EXPERIMENTAL
BbAvAHH,EXPERIMENTAL
BbMxAHA,CORE
BbAvAHA,CORE
PSCH,EXPERIMENTAL
PSCD,CORE
PSCA,CORE
Referee,EXPERIMENTAL
Time,EXPERIMENTAL
MaxH,EXPERIMENTAL
MaxD,CORE
MaxA,CORE
AvgH,EXPERIMENTAL
AvgD,CORE
AvgA,CORE
B365>2.5,EXPERIMENTAL
B365<2.5,EXPERIMENTAL
P>2.5,EXPERIMENTAL
P<2.5,EXPERIMENTAL
Max>2.5,EXPERIMENTAL
Max<2.5,EXPERIMENTAL
Avg>2.5,EXPERIMENTAL
Avg<2.5,EXPERIMENTAL
AHh,EXPERIMENTAL
B365AHH,EXPERIMENTAL
B365AHA,CORE
PAHH,EXPERIMENTAL
PAHA,CORE
MaxAHH,EXPERIMENTAL
MaxAHA,CORE
AvgAHH,EXPERIMENTAL
AvgAHA,CORE
B365CH,EXPERIMENTAL
B365CD,CORE
B365CA,CORE
BWCH,EXPERIMENTAL
BWCD,CORE
BWCA,CORE
IWCH,EXPERIMENTAL
IWCD,CORE
IWCA,CORE
WHCH,EXPERIMENTAL
WHCD,CORE
WHCA,CORE
VCCH,EXPERIMENTAL
VCCD,CORE
VCCA,CORE
MaxCH,CORE
MaxCD,CORE
MaxCA,CORE
AvgCH,CORE
AvgCD,CORE
AvgCA,CORE
B365C>2.5,EXPERIMENTAL
B365C<2.5,EXPERIMENTAL
PC>2.5,EXPERIMENTAL
PC<2.5,EXPERIMENTAL
MaxC>2.5,EXPERIMENTAL
MaxC<2.5,EXPERIMENTAL
AvgC>2.5,EXPERIMENTAL
AvgC<2.5,EXPERIMENTAL
AHCh,EXPERIMENTAL
B365CAHH,EXPERIMENTAL
B365CAHA,CORE
PCAHH,CORE
PCAHA,CORE
MaxCAHH,EXPERIMENTAL
MaxCAHA,CORE
AvgCAHH,EXPERIMENTAL
AvgCAHA,CORE
Model,EXPERIMENTAL
Brier Score,EXPERIMENTAL
Log Loss,EXPERIMENTAL
