Season,Competition,Coverage %,Moneyline,Asian Handicap,Over/Under,BTTS,Bookmakers Available,Data Quality
Unknown,Unknown,100,False,False,False,False,0,100.0
2016/2017,D1,100,True,True,True,False,18,99.98
2017/2018,D1,100,True,True,True,False,18,99.98
2018/2019,D1,100,True,True,True,False,16,99.97
2016/2017,E0,100,True,True,True,False,18,100.0
2017/2018,E0,100,True,True,True,False,18,100.0
2018/2019,E0,100,True,True,True,False,16,100.0
2019/2020,E0,100,True,True,True,False,32,100.0
2016/2017,F1,100,True,True,True,False,18,99.9
2017/2018,F1,100,True,True,True,False,18,99.95
2018/2019,F1,100,True,True,True,False,16,99.97
2016/2017,I1,100,True,True,True,False,18,99.94
2017/2018,I1,100,True,True,True,False,18,99.99
2018/2019,I1,100,True,True,True,False,16,100.0
2016/2017,SP1,100,True,True,True,False,18,99.95
2017/2018,SP1,100,True,True,True,False,18,99.98
2018/2019,SP1,100,True,True,True,False,16,100.0
2019/2020,SP1,100,True,True,True,False,32,99.91
Unknown,Unknown,100,False,False,False,False,0,100.0
