Competition,Season,Country,Total Matches,Complete Matches,Missing Values %,Quality Score
Unknown,Unknown,Unknown,10,10,0.0,100.0
D1,2016/2017,Germany,306,306,0.015318627450980392,99.98
D1,2017/2018,Germany,306,306,0.015318627450980392,99.98
D1,2018/2019,Germany,306,306,0.03214400514304082,99.97
E0,2016/2017,England,380,380,0.0,100.0
E0,2017/2018,England,380,380,0.0,100.0
E0,2018/2019,England,380,380,0.0,100.0
E0,2019/2020,England,380,380,0.0,100.0
F1,2016/2017,France,380,380,0.09868421052631579,99.9
F1,2017/2018,France,380,380,0.049342105263157895,99.95
F1,2018/2019,France,380,380,0.025884383088869718,99.97
I1,2016/2017,Italy,380,380,0.061677631578947366,99.94
I1,2017/2018,Italy,380,380,0.012335526315789474,99.99
I1,2018/2019,Italy,380,380,0.0,100.0
SP1,2016/2017,Spain,380,380,0.049342105263157895,99.95
SP1,2017/2018,Spain,380,380,0.024671052631578948,99.98
SP1,2018/2019,Spain,380,380,0.0,100.0
SP1,2019/2020,Spain,380,380,0.08521303258145363,99.91
Unknown,Unknown,Unknown,3,3,0.0,100.0
