
FullName                                                                                                Lines
--------                                                                                                -----
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\data\leagues.ts                                      1054
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\pipeline\engine\index.ts                             1028
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\verify-level2-independent.ts                      942
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\crons\leagueRegistry.ts                               861
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\cron\generate-signals\route.ts                    720
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\(app)\dashboard\page.tsx                              676
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\cron\settle\route.ts                              575
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\(app)\performance\page.tsx                            568
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\validate-prediction-engine.ts                     562
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\pipeline\contracts\steps.ts                           520
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\run-sprint2-research.ts                           517
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\closing-odds\CaptureEngine.ts                         512
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\ledger\_components\LedgerTable.tsx                    464
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\diagnose-sprint12.ts                              445
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\(app)\scanner\page.tsx                                439
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\run-shadow-ingestion.ts                           434
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\closing-odds\CaptureMonitor.ts                        433
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\run-feature-study.ts                              425
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\cron\capture-odds\route.ts                        416
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\metrics\accuracy-calculator.ts                        412
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\services\ledger-v2.ts                                     394
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\backtest-sprint11.ts                              393
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\experiments\runner.ts                                     380
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\paper-trading\_components\PaperTradingDashboard.tsx   376
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\performance\summary\route.ts                      350
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\backtest-level2-production.ts                     336
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\warehouse\ingestion\apiFootballProvider.ts            335
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\mock-data.ts                                          328
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\verify-world-cup.ts                               323
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\services\healthChecker.ts                             314
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\services\odds-platform.ts                             312
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\crons\prediction.ts                                   309
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\services\football-intelligence.service.ts                 301
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\crons\closingOddsCapture.ts                               299
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\data-platform\footballDataCSVAdapter.ts               295
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\stats\performance\route.ts                        289
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\data\predictionLedgerRepository.ts                    285
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\api\apiFootball.ts                                    285
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\pipeline\adapters\Comparator.ts                       285
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\api\cron\evaluate\route.ts                            282
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\engines\probability-engine\index.ts                   281
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\data-platform\goldDatasetBuilder.ts                   280
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\observability\__tests__\oddsIngestion.test.ts         279
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\warehouse\featureStore.ts                             266
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\apis\apifootball.ts                                   263
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\app\admin\page.tsx                                        263
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\scripts\verify-schema.ts                                  262
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\data\dataTransformer.ts                               258
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\pipeline\contracts\index.ts                           251
C:\Users\RYZEN\.antigravity-ide\HandicapLab\src\lib\warehouse\etl.ts                                      248


